is_buggy,h1,h2,N1,N2,complexity,loc,lloc,sloc,comments,multi,blank,single_comments,no_of_files,no_of_added_files,no_of_added_python_files,no_of_modified_files,no_of_modified_python_files,no_of_copied_files,no_of_copied_python_files,no_of_deleted_files,no_of_deleted_python_files,author_previous_commits,author_previous_file_changes
1,0,0,0,0,2,2,2,2,0,0,0,0,5,0,0,5,2,0,0,0,0,0,0
1,0,0,0,0,0,3,0,0,3,0,0,3,16,1,1,0,0,0,0,15,15,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,3,1,3,0,0,0,0,33,1,1,13,13,0,0,19,19,0,0
1,0,0,0,0,1,15,1,15,0,0,0,0,33,1,1,13,13,0,0,19,19,0,0
1,0,0,0,0,1,15,1,15,0,0,0,0,33,1,1,13,13,0,0,19,19,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,119,0,0,119,118,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,119,0,0,119,118,0,0,0,0,0,0
1,2,3,2,3,7,20,14,16,1,0,3,1,17,0,0,17,13,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,8,0,0,8,8,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,6,0,0,6,5,0,0,0,0,0,0
1,0,0,0,0,1,5,1,5,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0
1,0,0,0,0,1,3,2,3,0,0,0,0,3,0,0,2,2,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,7,0,0,6,4,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,16,1,0,0,13,3,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,6,1,6,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,107,0,0,107,107,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,107,0,0,107,107,0,0,0,0,0,0
1,1,2,1,2,1,5,5,5,1,0,0,0,25,0,0,23,21,0,0,2,2,0,0
1,0,0,0,0,1,17,1,0,0,13,4,0,5,0,0,2,2,0,0,3,2,0,0
1,0,0,0,0,1,4,3,3,0,0,1,0,5,0,0,2,2,0,0,3,2,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0
1,1,1,3,3,1,4,1,4,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0
1,0,0,0,0,1,45,1,0,0,40,5,0,15,0,0,13,6,0,0,2,2,0,0
1,0,0,0,0,1,79,1,0,0,64,15,0,7,0,0,7,6,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0
1,0,0,0,0,1,31,1,0,0,26,5,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,17,1,13,0,0,4,0,11,0,0,11,2,0,0,0,0,0,0
1,0,0,0,0,1,2,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0
1,0,0,0,0,1,10,4,8,0,0,2,0,74,19,19,52,41,0,0,3,0,0,0
1,0,0,0,0,1,162,1,128,0,0,34,0,13,0,0,13,12,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,15,0,0,14,12,0,0,1,1,0,0
1,2,6,3,7,4,9,2,6,3,0,0,3,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,1,4,3,6,7,10,7,10,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0
1,0,0,0,0,1,139,1,0,0,118,21,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,23,1,0,0,19,4,0,46,7,3,23,20,0,0,16,12,0,0
1,1,2,1,2,2,3,3,3,0,0,0,0,46,7,3,23,20,0,0,16,12,0,0
1,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,0,3,2,3,0,0,0,0,3,0,0,1,1,0,0,2,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,5,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0
1,0,0,0,0,1,121,1,0,0,99,22,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,1,2,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,51,1,0,0,47,4,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,2,1,2,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0
1,0,0,0,0,1,1,2,1,0,0,0,0,5,0,0,4,3,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,2,2,2,2,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,0
1,0,0,0,0,2,3,3,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,2,3,2,3,1,1,1,1,0,0,0,0,8,0,0,8,6,0,0,0,0,0,0
1,0,0,0,0,1,107,1,0,0,96,11,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,107,1,0,105,102,0,0,1,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,107,1,0,105,102,0,0,1,0,0,0
1,5,17,12,24,6,18,17,17,0,0,1,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,13,1,0,0,11,2,0,23,0,0,23,20,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,132,0,0,132,132,0,0,0,0,0,0
1,0,0,0,0,1,2,1,2,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0
